Ingredients,Rate,Category
"1, 2-Hexanediol",GOOD,Preservatives
10-Hydroxydecanoic Acid,GOOD,Emollients
4-T-butylcyclohexanol,GOOD,"Emollients, Skin-Soothing"
Acacia farnesiana extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
acacia senegal gum,GOOD,"Texture Enhancer, Plant Extracts, Skin-Soothing"
acai,BEST,"Antioxidants, Plant Extracts"
acerola fruit extract,GOOD,Plant Extracts
acetic acid,POOR,Sensitizing
acetone,POOR,Sensitizing
acetylated castor oil,GOOD,"Texture Enhancer, Emollients"
acetylated hydrogenated cottonseed glyceride,GOOD,"Texture Enhancer, Emollients"
acetylated lanolin,GOOD,Emollients
acetylated lanolin alcohol,GOOD,Emollients
acetylated palm kernel glycerides,GOOD,"Texture Enhancer, Emollients"
acetyl carnitine HCL,BEST,Antioxidants
acetyl glucosamine,BEST,Skin-Replenishing
acetyl glyceryl ricinoleate,GOOD,"Texture Enhancer, Emollients"
acetyl hexapeptide-8,GOOD,Skin-Restoring
acetyl octapeptide-3,GOOD,Skin-Restoring
acetyl tributyl citrate,AVERAGE,Film-Forming/Holding Agents
acetyl tyrosine,GOOD,Hydration
Achillea millefolium,POOR,"Skin-Soothing, Plant Extracts"
acid,AVERAGE,Miscellaneous
acne soap,POOR,Cleansing Agents
acrylate,GOOD,Texture Enhancer
acrylates/C10-30 alkyl acrylate crosspolymer,GOOD,Texture Enhancer
acrylates/dimethicone copolymer,GOOD,"Silicones, Texture Enhancer"
acrylates/steareth-20 methacrylate copolymer,GOOD,Texture Enhancer
acrylates copolymer,GOOD,Texture Enhancer
Actaea racemosa,AVERAGE,Plant Extracts
adenosine,BEST,"Skin-Soothing, Skin-Restoring"
adenosine triphosphate,BEST,"Skin-Soothing, Skin-Restoring"
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,GOOD,Texture Enhancer
advanced glycation endproduct (AGE),POOR,Miscellaneous
Aerocarpus santalinus,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Aesculus hippocastanum,GOOD,"Skin-Soothing, Plant Extracts"
agar,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer"
AGE,POOR,Miscellaneous
Agrimonia eupatoria leaf extract,AVERAGE,"Antioxidants, Plant Extracts"
AHA,BEST,Exfoliant
Ahnfeltia concinna extract,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients"
ahnfeltia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts"
Ahnfeltiopsis concinna extract,GOOD,"Emollients, Antioxidants, Plant Extracts, Texture Enhancer"
alanine,GOOD,Antioxidants
Alaria esculenta,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer"
albumin,POOR,Texture Enhancer
alcloxa,POOR,Uncategorized
alcohol,AVERAGE,"Emollients, Cleansing Agents"
Aleurites moluccana seed oil,BEST,"Plant Extracts, Antioxidants"
alfalfa extract,BEST,"Antioxidants, Plant Extracts"
algae,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts"
algae extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Plant Extracts"
algin,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts"
aliphatic hydrocarbon,GOOD,Uncategorized
alkaline,POOR,Uncategorized
alkyloamides,AVERAGE,Texture Enhancer
allantoin,BEST,Skin-Soothing
allyl methacrylates crosspolymer,GOOD,Texture Enhancer
almond oil,BEST,"Emollients, Skin-Replenishing"
Aloe barbadensis,GOOD,"Skin-Soothing, Plant Extracts"
aloe barbadensis leaf juice extract,GOOD,"Skin-Soothing, Plant Extracts"
aloe barbadensis leaf juice powder,GOOD,Plant Extracts
aloe extract,GOOD,"Skin-Soothing, Plant Extracts"
aloe juice,GOOD,"Skin-Soothing, Plant Extracts"
aloe vera,GOOD,"Skin-Soothing, Plant Extracts"
alpha bisabolol,BEST,"Skin-Soothing, Plant Extracts"
alpha glucan oligosaccharide,BEST,Emollients
alpha hydroxy acid,BEST,Exfoliant
alpha isomethyl ionone,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
alpha lipoic acid,BEST,Antioxidants
alpha-tocopherol,BEST,"Antioxidants, Vitamins"
Alteromonas ferment extract,GOOD,Plant Extracts
Althaea rosea,GOOD,"Skin-Soothing, Texture Enhancer, Plant Extracts"
Althea officinalis,BEST,"Skin-Soothing, Plant Extracts"
alumina,GOOD,"Texture Enhancer, Scrub Agents, Absorbent"
aluminum,GOOD,Uncategorized
Aluminum hydroxide,GOOD,"Texture Enhancer, Absorbent"
aluminum magnesium silicate,GOOD,Absorbent
aluminum powder,GOOD,Coloring Agents/Pigments
aluminum silicate,GOOD,"Absorbent, Scrub Agents"
aluminum starch octenylsuccinate,GOOD,"Texture Enhancer, Absorbent"
aluminum stearate,GOOD,Texture Enhancer
aluminum sulfate,POOR,"Absorbent, Antioxidants"
amino acid,BEST,"Antioxidants, Skin-Replenishing"
aminobutyric acid,AVERAGE,Skin-Soothing
aminomethyl propanediol,GOOD,Uncategorized
aminomethyl propanol,GOOD,Uncategorized
ammonium acryloyldimethyltaurate/VP copolymer,GOOD,Texture Enhancer
ammonium chloride,POOR,Absorbent
ammonium glycolate,BEST,Exfoliant
ammonium hydroxide,AVERAGE,Uncategorized
ammonium laureth sulfate,GOOD,Cleansing Agents
ammonium lauryl sulfate,GOOD,Cleansing Agents
amodimethicone,GOOD,"Silicones, Emollients, Texture Enhancer"
amygdalic acid,GOOD,"Exfoliant, Antioxidants"
amyl cinnamate,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
amyl salicylate,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
amyris oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Anacyclus pyrethrum,POOR,Plant Extracts
Anacystis nidulans extract,GOOD,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients"
Ananas sativus fruit extract,GOOD,"Plant Extracts, Exfoliant"
andiroba oil,GOOD,"Skin-Soothing, Plant Extracts"
Anethum graveolens,AVERAGE,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Angelica archangelica root oil,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Angelica polymorpha sinensis root extract,POOR,"Antioxidants, Plant Extracts"
anhydroxylitol,GOOD,Hydration
anisaldehyde,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
anise,POOR,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts"
annato extract,GOOD,Plant Extracts
Anthemis nobilis flower extract,BEST,"Skin-Soothing, Antioxidants"
anthocyanin,BEST,"Antioxidants, Plant Extracts"
antioxidant,BEST,Antioxidants
apple fruit extract,BEST,"Antioxidants, Plant Extracts"
apricot kernel,AVERAGE,Scrub Agents
apricot kernel oil,BEST,"Plant Extracts, Emollients"
arachidic acid,GOOD,"Texture Enhancer, Emollients"
arachidyl alcohol,GOOD,"Texture Enhancer, Emollients"
arachidyl glucoside,GOOD,Cleansing Agents
arachidyl propionate,GOOD,"Texture Enhancer, Emollients"
Arachis hypogaea extract,BEST,"Skin-Soothing, Emollients, Plant Extracts"
arbutin,BEST,Plant Extracts
Arctium lappa,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
Arctium majus,BEST,"Plant Extracts, Antioxidants, Skin-Soothing"
Arctostaphylos uva ursi leaf,BEST,"Antioxidants, Plant Extracts"
Argania spinosa,BEST,"Antioxidants, Plant Extracts"
argan oil,BEST,"Antioxidants, Emollients, Plant Extracts"
arginine,GOOD,Antioxidants
Argireline,AVERAGE,Skin-Restoring
arnica extract,POOR,Plant Extracts
aroma/flavor,AVERAGE,Fragrance: Synthetic and Fragrant Plant Extracts
arrowroot,AVERAGE,Texture Enhancer
artemia extract,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer"
Artemisia absinthium extract,AVERAGE,Plant Extracts
Artemisia vulgaris,AVERAGE,Plant Extracts
Ascophyllum nodosum,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer"
ascorbic acid,BEST,"Antioxidants, Vitamins"
ascorbyl glucosamine,BEST,"Antioxidants, Vitamins"
ascorbyl glucoside,BEST,"Antioxidants, Vitamins"
ascorbyl methylsilanol pectinate,BEST,"Antioxidants, Texture Enhancer, Vitamins"
ascorbyl palmitate,BEST,"Antioxidants, Vitamins"
asparagine,GOOD,Antioxidants
Asparagopsis armata extract,GOOD,"Antioxidants, Emollients, Plant Extracts, Texture Enhancer"
aspartic acid,GOOD,"Antioxidants, Skin-Replenishing"
astaxanthin,BEST,Antioxidants
astaxanthin extract,BEST,Antioxidants
Astragalus membranaceus,BEST,"Antioxidants, Plant Extracts"
Astragalus sinicus,GOOD,"Antioxidants, Plant Extracts"
Astrocaryum murumuru seed butter,GOOD,"Emollients, Plant Extracts"
ATP,BEST,"Skin-Soothing, Skin-Restoring"
atractylodes macrocephala root powder,BEST,"Antioxidants, Skin-Soothing, Plant Extracts"
Atractyloydes lancea root extract,AVERAGE,Plant Extracts
Avena sativa,BEST,"Skin-Soothing, Plant Extracts"
avobenzone,BEST,Sunscreen Actives
avocado oil,BEST,"Antioxidants, Emollients"
awapuhi,POOR,Plant Extracts
Azadirachta indica,POOR,"Plant Extracts, Antioxidants"
azelaic acid,BEST,"Skin-Soothing, Antioxidants, Exfoliant"
azelaoyl bis-dipeptide-10,BEST,Skin-Restoring
Azelex,BEST,Uncategorized
azuki beans,AVERAGE,Scrub Agents
azulene,AVERAGE,"Skin-Soothing, Plant Extracts, Antioxidants"
babassu oil,GOOD,"Plant Extracts, Emollients"
bakuchiol,GOOD,"Antioxidants, Plant Extracts"
balm mint extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
balsam peru,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Bambusa vulgaris (bamboo) leaf/stem extract,BEST,Uncategorized
banana extract,AVERAGE,"Antioxidants, Plant Extracts"
barberry,BEST,Skin-Soothing
barium sulfate,POOR,Coloring Agents/Pigments
barley extract,AVERAGE,Plant Extracts
batyl alcohol,GOOD,Emollients
bay leaf oil,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
bearberry extract,GOOD,Antioxidants
bee pollen,POOR,Uncategorized
beeswax,GOOD,"Texture Enhancer, Emollients"
beet root extract,GOOD,"Antioxidants, Coloring Agents/Pigments, Plant Extracts"
beheneth-5,GOOD,Thickeners/Emulsifiers
behenic acid,GOOD,"Texture Enhancer, Cleansing Agents"
behentrimonium chloride,GOOD,"Texture Enhancer, Emollients"
behenyl alcohol,GOOD,Texture Enhancer
Bellis perennis,POOR,Plant Extracts
bentonite,GOOD,Absorbent
benzalkonium chloride,AVERAGE,Antioxidants
benzephenone-3,GOOD,Sunscreen Actives
benzoic acid,GOOD,Preservatives
benzoin extract,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
benzophenone,GOOD,Sunscreen Actives
benzothonium chloride,GOOD,Preservatives
benzoyl peroxide,BEST,Anti-Acne
benzyl alcohol,GOOD,Preservatives
benzyl salicylate,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
Berberis aristata,BEST,"Plant Extracts, Antioxidants"
bergamot oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Bertholletia excelsa extract,GOOD,"Antioxidants, Plant Extracts"
beta-carotene,GOOD,Antioxidants
beta-glucan,BEST,"Skin-Soothing, Antioxidants"
beta hydroxy acid,BEST,"Skin-Soothing, Antioxidants, Exfoliant"
betaine salicylate,GOOD,Exfoliant
beta-sitosterol,BEST,"Skin-Soothing, Plant Extracts, Skin-Replenishing"
Beta vulgaris root extract,GOOD,"Antioxidants, Coloring Agents/Pigments, Plant Extracts"
Betula alba,GOOD,"Antioxidants, Plant Extracts"
BHA (beta hydroxy acid),BEST,"Skin-Soothing, Exfoliant, Anti-Acne"
BHT,AVERAGE,Antioxidants
bifida ferment lysate,GOOD,Miscellaneous
bilberry extract,GOOD,Plant Extracts
bioflavonoid,BEST,Antioxidants
biotin,GOOD,Vitamins
birch bark extract,GOOD,"Antioxidants, Plant Extracts"
birch leaf extract,GOOD,"Antioxidants, Plant Extracts"
bisabolol,BEST,"Skin-Soothing, Plant Extracts"
bis-diglyceryl polyacyladipate,GOOD,"Texture Enhancer, Emollients"
bismuth oxychloride,AVERAGE,"Texture Enhancer, Absorbent"
bis-PEG-18 methyl ether dimethyl silane,GOOD,"Silicones, Cleansing Agents, Texture Enhancer, Emollients"
bis-phenylpropyl dimethicone,GOOD,"Silicones, Texture Enhancer"
bitter orange flower,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
blackberry,BEST,"Antioxidants, Plant Extracts"
black cohosh,AVERAGE,Plant Extracts
black currant oil,BEST,Plant Extracts
black elderberry,GOOD,"Antioxidants, Plant Extracts"
black locust extract,POOR,"Antioxidants, Plant Extracts"
black mulberry,GOOD,Plant Extracts
black pepper extract and oil,POOR,Plant Extracts
black raspberry,BEST,"Antioxidants, Plant Extracts"
black tea,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
bladderwrack extract,BEST,"Antioxidants, Plant Extracts"
bloodwort,POOR,Plant Extracts
blue 1,GOOD,Coloring Agents/Pigments
blue 1 lake,GOOD,Coloring Agents/Pigments
Boerhavia diffusa root extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
bois de rose oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
bois oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
borage seed extract,BEST,"Skin-Soothing, Plant Extracts"
borage seed oil,BEST,"Skin-Soothing, Emollients, Antioxidants, Plant Extracts"
Borago officinalis extract,BEST,"Skin-Soothing, Antioxidants, Emollients, Plant Extracts"
Borago officinalis seed oil,BEST,"Skin-Soothing, Plant Extracts, Emollients, Antioxidants"
borate,POOR,Preservatives
borax,POOR,Preservatives
boric acid,GOOD,Preservatives
boron nitride,GOOD,Absorbent
Boswellia carterii,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Boswellia serrata extract,AVERAGE,"Skin-Soothing, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts"
botanicals,AVERAGE,Plant Extracts
boysenberry,BEST,"Antioxidants, Plant Extracts"
Brassica campestris,BEST,"Antioxidants, Emollients"
Brazil nut extract,GOOD,"Antioxidants, Plant Extracts"
broad spectrum,GOOD,Sunscreen Actives
bromelain,GOOD,"Plant Extracts, Exfoliant"
bronopol,POOR,Preservatives
bronze powder,GOOD,Coloring Agents/Pigments
Buddleja davidii extract,BEST,"Antioxidants, Plant Extracts"
bumetrizole,GOOD,Sunscreen Actives
Bupleurum falcatum extract,AVERAGE,Plant Extracts
burdock root,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
butyl acetate,GOOD,"Film-Forming Agents, Texture Enhancer"
butylene glycol,GOOD,Texture Enhancer
butyl methoxydibenzoylmethane,BEST,Sunscreen Actives
butylparaben,GOOD,Preservatives
butylphenyl methylpropional,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
Butyrospermum fruit,BEST,"Plant Extracts, Emollients"
Butyrospermum parkii,BEST,"Plant Extracts, Emollients, Skin-Replenishing"
Butyrosperum parkii (shea) butter extract,BEST,"Emollients, Antioxidants, Plant Extracts"
Buxus chinensis,BEST,"Plant Extracts, Skin-Replenishing, Emollients"
C10-30 cholesterol/lanosterol esters,BEST,Emollients
C11-15 pareth-7,GOOD,"Cleansing Agents, Emulsifiers"
C12-15 alkyl benzoate,GOOD,"Texture Enhancer, Emollients"
C12-16 pareth-9,GOOD,"Cleansing Agents, Emulsifiers"
C12-18 acid triglyceride,GOOD,"Texture Enhancer, Emollients"
C13-14 isoparaffin,GOOD,Texture Enhancer
C18-36 acid triglyceride,GOOD,"Texture Enhancer, Emollients"
C20-40 pareth-40,GOOD,Cleansing Agents
caffeic acid,BEST,Antioxidants
caffeine,AVERAGE,"Antioxidants, Plant Extracts"
cajeputi oil,POOR,Plant Extracts
calamine,POOR,Sensitizing
calcium ascorbate,BEST,"Antioxidants, Vitamins"
calcium carbonate,GOOD,Absorbent
calcium d-pantetheine-s-sulfonate,GOOD,Vitamins
calcium gluconate,GOOD,Skin-Soothing
calcium pantothenate,GOOD,Vitamins
calendula extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
Calendula officinalis flower extract,GOOD,"Antioxidants, Plant Extracts"
Calluna vulgaris flower extract,BEST,"Skin-Soothing, Plant Extracts"
Calophyllum inophyllum seed oil,GOOD,Plant Extracts
Camellia japonica,BEST,"Antioxidants, Plant Extracts"
Camellia oleifera,BEST,"Antioxidants, Plant Extracts"
Camellia sinensis,BEST,"Antioxidants, Plant Extracts"
camphor,POOR,Plant Extracts
cananga extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Cananga odorata,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
candelilla/jojoba/rice bran polyglyceryl-3 esters,BEST,Thickeners/Emulsifiers
candelilla wax,GOOD,"Plant Extracts, Emollients, Texture Enhancer"
Cannabis sativa L. oil,GOOD,"Plant Extracts, Emollients"
canola oil,BEST,"Skin-Soothing, Skin-Replenishing, Plant Extracts"
caprooyl phytosphingosine,BEST,"Skin-Replenishing, Skin-Restoring"
caprooyl sphingosine,BEST,"Skin-Replenishing, Skin-Restoring"
caprooyl tetrapeptide-3,BEST,Skin-Restoring
caprylic/capric triglyceride,BEST,"Plant Extracts, Emollients, Texture Enhancer"
capryloyl glycerin/sebacic acid copolymer,GOOD,"Film-Forming/Holding Agents, Texture Enhancer"
capryloyl glycine,GOOD,Hydration
caprylyl caprylate/caprate,GOOD,"Emollients, Skin-Softening"
caprylyl glycol,GOOD,"Plant Extracts, Preservatives"
caprylyl methicone,GOOD,"Silicones, Emollients"
capsaicin,POOR,Plant Extracts
capsicum,POOR,Plant Extracts
capsicum oleoresin,POOR,Plant Extracts
caramel,GOOD,Coloring Agents/Pigments
carbomer,GOOD,Texture Enhancer
carbopol,GOOD,Texture Enhancer
carboxylic acid,BEST,Antioxidants
cardamom,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
carmine,GOOD,Coloring Agents/Pigments
carnauba wax,GOOD,"Plant Extracts, Absorbent, Texture Enhancer"
carnitine,BEST,Antioxidants
carnosic acid,BEST,"Antioxidants, Plant Extracts"
carnosine,BEST,"Antioxidants, Plant Extracts"
carnosol acid,BEST,"Antioxidants, Plant Extracts"
carrageenan,GOOD,"Plant Extracts, Texture Enhancer"
carrot oil,BEST,"Plant Extracts, Skin-Replenishing, Emollients"
Carthamus tinctorius oil,BEST,"Plant Extracts, Emollients"
carvone,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
Carya illinoensis oil,GOOD,"Plant Extracts, Emollients"
casein,GOOD,Uncategorized
Castanea sativa seed extract,GOOD,Plant Extracts
castor isostearate succinate,GOOD,Emollients
castor oil,GOOD,"Plant Extracts, Emollients"
catalase,BEST,Antioxidants
Caulerpa taxifolia extract,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts"
cedarwood,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Cedrus atlantica bark extract,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
cellulose,GOOD,"Plant Extracts, Texture Enhancer"
Cellulose gum,GOOD,"Plant Extracts, Texture Enhancer"
Centaurea cyanus,BEST,"Skin-Soothing, Plant Extracts"
Centella asiatica,BEST,"Skin-Soothing, Antioxidants"
cephalin,BEST,"Texture Enhancer, Emollients"
Cera alba,GOOD,Texture Enhancer
cera microcristallina,GOOD,Emollients
ceramide AP,BEST,Skin-Replenishing
ceramide EOP,BEST,Skin-Replenishing
ceramide EOS,BEST,Skin-Replenishing
ceramide NG,BEST,Skin-Replenishing
ceramide NP,BEST,Skin-Replenishing
ceramide NS,BEST,Skin-Replenishing
ceramides,BEST,"Skin-Restoring, Skin-Replenishing"
ceresin,GOOD,Texture Enhancer
ceteareth-20,GOOD,Texture Enhancer
ceteareth-25,GOOD,"Emulsifiers, Texture Enhancer"
cetearyl alcohol,GOOD,"Texture Enhancer, Emollients"
cetearyl ethylhexanoate,GOOD,"Texture Enhancer, Emollients"
cetearyl glucoside,GOOD,Texture Enhancer
cetearyl octanoate,GOOD,"Texture Enhancer, Skin-Replenishing, Emollients"
cetyl acetate,GOOD,Emollients
cetyl alcohol,GOOD,"Thickeners/Emulsifiers, Emollients"
cetyl dimethicone,GOOD,Silicones
cetyl dimethicone copolyol,GOOD,"Silicones, Emollients"
cetyl esters,GOOD,"Texture Enhancer, Emollients"
cetyl hydroxyethylcellulose,GOOD,"Texture Enhancer, Emollients"
cetyl palmitate,GOOD,Emollients
cetyl PEG/PPG-10/1-dimethicone,GOOD,"Texture Enhancer, Silicones"
chamomile,BEST,"Antioxidants, Plant Extracts"
