Ingredients,Rate,Category
myristic acid,GOOD,Cleansing Agents
myristoyl hexapeptide-16,BEST,Skin-Restoring
myristoyl pentapeptide-17,BEST,Skin-Restoring
myristoyl tripeptide-31,BEST,Skin-Restoring
myristyl alcohol,GOOD,"Emollients, Thickeners/Emulsifiers"
myristyl myristate,GOOD,"Texture Enhancer, Emollients"
myristyl nicotinate,BEST,Miscellaneous
myrrh,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
myrtle extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Myrtus communis extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
N6-furfuryladenine,AVERAGE,"Plant Extracts, Skin-Restoring"
N-acetyl-L tyrosine,AVERAGE,"Antioxidants, Skin-Replenishing"
NaPCA,GOOD,Skin-Replenishing
Narcissus poeticus wax,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Nardostachys jatamansi,GOOD,"Plant Extracts, Antioxidants"
Nasturtium officinale extract,AVERAGE,"Antioxidants, Plant Extracts"
natto gum,GOOD,"Antioxidants, Plant Extracts"
natural moisturizing factor (NMF),BEST,Skin-Replenishing
neem extract,BEST,"Plant Extracts, Antioxidants"
neem oil,POOR,"Plant Extracts, Sensitizing"
neopentyl glycol dicaprylate/dicaprate,GOOD,"Texture Enhancer, Emollients"
neopentyl glycol diheptanoate,GOOD,"Texture Enhancer, Skin-Softening"
neroli,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
neroli oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
nettle extract,AVERAGE,"Skin-Soothing, Plant Extracts"
niacin,BEST,"Skin-Restoring, Vitamins"
niacinamide,BEST,"Skin-Soothing, Skin-Restoring, Antioxidants, Vitamins"
nicotinamide,BEST,"Skin-Restoring, Vitamins"
nicotinic acid,BEST,"Skin-Restoring, Vitamins"
noni juice,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
nonoxynols,GOOD,Cleansing Agents
nylon-12,GOOD,"Texture Enhancer, Absorbent"
Nymphaea tetragona,BEST,"Antioxidants, Plant Extracts"
oak root extract,POOR,"Plant Extracts, Sensitizing, Antioxidants"
oat beta-glucan,BEST,"Skin-Soothing, Antioxidants"
oat bran extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
oat kernel extract,BEST,"Skin-Soothing, Plant Extracts"
oatmeal,BEST,"Skin-Soothing, Plant Extracts"
octinoxate,BEST,Sunscreen Actives
octisalate,BEST,Sunscreen Actives
octocrylene,BEST,Sunscreen Actives
octyldodecanol,GOOD,"Texture Enhancer, Emollients"
octyldodecyl myristate,GOOD,"Texture Enhancer, Skin-Softening, Emollients"
octyldodecyl neopentanoate,GOOD,"Emollients, Skin-Softening"
octyl methoxycinnamate,BEST,Sunscreen Actives
octyl palmitate,GOOD,"Texture Enhancer, Emollients"
octyl salicylate,BEST,Sunscreen Actives
octyl stearate,GOOD,"Texture Enhancer, Emollients"
o-cymen-5-ol,GOOD,Preservatives
Oenothera biennis oil,BEST,"Skin-Soothing, Emollients, Plant Extracts"
Olea europaea fruit oil,GOOD,"Antioxidants, Emollients, Plant Extracts, Skin-Replenishing"
Olea europaea oil unsaponifiables,BEST,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients"
oleanolic acid,BEST,"Skin-Soothing, Antioxidants"
oleic acid,GOOD,"Cleansing Agents, Texture Enhancer"
oleth-10,GOOD,"Texture Enhancer, Cleansing Agents"
oleths,GOOD,Cleansing Agents
oleyl erucate,GOOD,Skin-Softening
olibanum extract,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
olive oil/olive fruit oil,GOOD,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients"
orange blossom,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Orbignya martiana,GOOD,"Plant Extracts, Emollients"
Orbignya oleifera,GOOD,"Plant Extracts, Emollients"
orchid,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
oregano,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Origanum majorana,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Origanum vulgare flower extract,POOR,"Plant Extracts, Sensitizing"
orris root,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
oryzanol,GOOD,"Antioxidants, Plant Extracts"
Oryza sativa cera,BEST,Skin-Softening
Oryza sativa oil,GOOD,"Plant Extracts, Emollients"
oxidoreductase,BEST,Antioxidants
oxybenzone,BEST,Sunscreen Actives
ozokerite,GOOD,Texture Enhancer
P. elisabethae,GOOD,"Skin-Soothing, Antioxidants"
PABA,POOR,Sunscreen Actives
padimate O,AVERAGE,Sunscreen Actives
Padina pavonica extract,GOOD,"Antioxidants, Emollients, Plant Extracts"
Paeonia albiflora extract,AVERAGE,Plant Extracts
Paeonia suffruticosa extract,AVERAGE,"Antioxidants, Plant Extracts"
Palmaria palmata extract,GOOD,"Antioxidants, Plant Extracts, Emollients"
palmarosa oil,POOR,Plant Extracts
palmitic acid,GOOD,"Emollients, Skin-Replenishing, Cleansing Agents"
palmitoyl hexapeptide-12,BEST,Skin-Restoring
palmitoyl oligopeptide,BEST,Skin-Restoring
palmitoyl pentapeptide-4,BEST,Skin-Restoring
palmitoyl tetrapeptide-7,BEST,Skin-Restoring
palmitoyl tripeptide-1,BEST,Skin-Restoring
Palmitoyl Tripeptide-38,BEST,Skin-Restoring
palmitoyl tripeptide-5,BEST,Skin-Restoring
palmitoyl tripeptide-8,BEST,Skin-Restoring
palm kernel acid,GOOD,"Emollients, Cleansing Agents"
palm oil,BEST,"Antioxidants, Skin-Replenishing, Emollients"
Panax ginseng root extract,BEST,"Antioxidants, Plant Extracts"
Panicum miliaceum,AVERAGE,Plant Extracts
pansy extract,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts"
pantethine,GOOD,Vitamins
panthenol,BEST,Vitamins
pantothenic acid,BEST,Vitamins
papain,POOR,"Plant Extracts, Exfoliant"
papaya extract,AVERAGE,"Plant Extracts, Exfoliant"
para-aminobenzoic acid (PABA),POOR,Sunscreen Actives
parabens,GOOD,Preservatives
paraffin,GOOD,Texture Enhancer
Paraffinum liquidum,GOOD,Emollients
Parsol 1789,BEST,Sunscreen Actives
Passiflora edulis extract,GOOD,Plant Extracts
Passiflora edulis seed oil,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
passion fruit extract,GOOD,Plant Extracts
patchouli,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
pawpaw extract,AVERAGE,"Plant Extracts, Exfoliant"
PCA,GOOD,Hydration
peanut oil,GOOD,"Plant Extracts, Emollients"
pecan oil,GOOD,"Plant Extracts, Emollients"
pectin,GOOD,"Plant Extracts, Texture Enhancer, Emollients"
PEG/PPG-17/6 copolymer,GOOD,"Cleansing Agents, Emollients"
PEG/PPG-18/18 dimethicone,GOOD,"Silicones, Emollients, Cleansing Agents"
PEG/PPG-18/4 copolymer,GOOD,Uncategorized
PEG/PPG-20/15 dimethicone,GOOD,"Silicones, Cleansing Agents, Emollients"
PEG-100 stearate,GOOD,"Emollients, Cleansing Agents"
PEG-10 dimethicone,GOOD,"Silicones, Emollients, Cleansing Agents"
PEG-10 dimethicone/vinyl dimethicone crosspolymer,GOOD,"Silicones, Cleansing Agents, Emollients"
PEG-10 phytosterol,GOOD,"Cleansing Agents, Emulsifiers"
PEG-10 rapeseed sterol,GOOD,"Cleansing Agents, Emollients"
PEG-120 methyl glucose dioleate,GOOD,Cleansing Agents
PEG-12 dimethicone,GOOD,"Silicones, Cleansing Agents, Emollients"
PEG-12 glyceryl dimyristate,GOOD,"Hydration, Skin-Replenishing"
PEG-14,GOOD,Uncategorized
PEG-150 distearate,GOOD,Texture Enhancer
PEG-20 methyl glucose sesquistearate,GOOD,"Cleansing Agents, Emollients"
PEG-32,GOOD,Texture Enhancer
PEG-33,GOOD,Uncategorized
PEG-40 hydrogenated castor oil,GOOD,"Plant Extracts, Emollients, Texture Enhancer"
PEG-40 stearate,GOOD,Cleansing Agents
PEG-60 almond glycerides,GOOD,Emollients
PEG-60 hydrogenated castor oil,GOOD,"Plant Extracts, Emollients, Cleansing Agents"
PEG-75 shea butter glycerides,GOOD,Skin-Replenishing
PEG-7 glyceryl cocoate,GOOD,"Cleansing Agents, Emollients"
PEG-8,GOOD,"Cleansing Agents, Emollients"
PEG-80 sorbitan laurate,GOOD,Cleansing Agents
PEG-8 dimethicone,GOOD,Uncategorized
PEG 90M,GOOD,"Cleansing Agents, Emollients"
PEG compound,GOOD,"Cleansing Agents, Emollients"
Pelargonium graveolens oil,POOR,Plant Extracts
pellitory,POOR,Plant Extracts
pentadecalactone,POOR,Fragrance: Synthetic and Fragrant Plant Extracts
pentaerythrityl tetraisostearate,GOOD,Texture Enhancer
pentaerythrityl tetraoctanoate,GOOD,"Texture Enhancer, Emollients"
pentapeptides,BEST,Skin-Restoring
pentasodium pentetate,GOOD,Uncategorized
pentylene glycol,GOOD,Texture Enhancer
peppermint,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
peptides,BEST,"Skin-Soothing, Skin-Restoring"
Perilla ocymoides,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts"
Persea gratissima oil,BEST,"Antioxidants, Emollients"
Persicaria hydropiper,BEST,"Antioxidants, Plant Extracts, Skin-Soothing"
petitgrain mandarin,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
petrolatum,GOOD,"Skin-Soothing, Emollients"
Peucedanum graveolens (dill) extract,BEST,"Antioxidants, Plant Extracts"
PHA,BEST,Exfoliant
phenoxyethanol,GOOD,Preservatives
phenoxyisopropanol,GOOD,Preservatives
phenylalanine,GOOD,"Antioxidants, Skin-Replenishing"
phenylethyl resorcinol,AVERAGE,Antioxidants
phenyl trimethicone,GOOD,"Silicones, Emollients"
phloretin,BEST,"Antioxidants, Plant Extracts"
phosphatidylcholine,BEST,"Skin-Restoring, Skin-Replenishing, Emollients"
phosphatidylethanolamine,BEST,"Emollients, Skin-Replenishing"
phospholipid,BEST,"Emollients, Skin-Replenishing"
phosphoric acid,GOOD,Uncategorized
photosensitizer,POOR,Uncategorized
phthalates,AVERAGE,Uncategorized
Phyllanthus emblica fruit extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
physalis angulata extract,BEST,"Antioxidants, Skin-Soothing, Plant Extracts"
phytantriol,GOOD,Uncategorized
phytic acid,GOOD,"Antioxidants, Plant Extracts"
phytonadione,GOOD,Vitamins
phytosphingosine,BEST,"Preservatives, Skin-Replenishing, Skin-Restoring"
phytosterol,BEST,"Emollients, Skin-Replenishing, Skin-Soothing"
phytosteryl/octyldodecyl lauroyl glutamate,BEST,Emollients
Picea abies extract,BEST,"Skin-Soothing, Plant Extracts"
pineapple extract,GOOD,"Plant Extracts, Exfoliant"
pinecone extract,GOOD,Antioxidants
pine oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Pinus lambertiana wood extract,POOR,Plant Extracts
Pinus sylvestris extract,GOOD,Antioxidants
Piper nigrum,POOR,Plant Extracts
pistachio seed oil,GOOD,"Plant Extracts, Emollients"
Pistacia vera seed oil,GOOD,"Plant Extracts, Emollients"
Pisum sativum,GOOD,"Antioxidants, Plant Extracts"
plankton extract,GOOD,Plant Extracts
plasticizing agents,AVERAGE,Texture Enhancer
plum extract,GOOD,"Antioxidants, Plant Extracts"
plum seed oil,BEST,"Antioxidants, Plant Extracts, Emollients"
Pogostemon cablin,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
poloxamer 184,GOOD,Cleansing Agents
Poloxamer 407,GOOD,Cleansing Agents
poloxamers,GOOD,Cleansing Agents
polyacrylamide,GOOD,Texture Enhancer
polyacrylate-17,GOOD,Texture Enhancer
polyacrylate crosspolymer,GOOD,"Film-Forming Agents, Texture Enhancer"
polyaminopropyl biguanide,GOOD,Preservatives
polybutene,GOOD,Texture Enhancer
polyethylene,GOOD,"Thickeners/Emulsifiers, Emollients, Scrub Agents"
polyethylene glycol,GOOD,"Texture Enhancer, Scrub Agents"
polyglucuronic acid,GOOD,Texture Enhancer
polyglycerol monostearate,GOOD,"Texture Enhancer, Emollients"
polyglyceryl-10 laurate,GOOD,"Emulsifiers, Cleansing Agents, Skin-Softening"
polyglyceryl 2 triisostearate,GOOD,"Texture Enhancer, Emollients"
polyglyceryl-3 beeswax,GOOD,"Texture Enhancer, Cleansing Agents"
polyglyceryl-3 methylglucose distearate,GOOD,"Texture Enhancer, Emollients"
polyglyceryl-3 rice branate,BEST,"Emulsifiers, Cleansing Agents"
polyglyceryl-4 isostearate,GOOD,"Cleansing Agents, Emollients"
polyglyceryl-6 isostearate,GOOD,Emollients
polyglyceryl methacrylate,GOOD,Texture Enhancer
polyhydroxy acid,BEST,Exfoliant
polyhydroxystearic acid,GOOD,Uncategorized
polyisobutene,GOOD,Texture Enhancer
polymer,GOOD,Uncategorized
polymethylsilsesquioxane,GOOD,"Silicones, Emollients, Texture Enhancer"
polypropylene glycol,GOOD,Uncategorized
polyquaternium-10,GOOD,Texture Enhancer
polyquaterniums,GOOD,Texture Enhancer
polysaccharide,BEST,"Antioxidants, Skin-Replenishing"
polysilicone-11,GOOD,"Silicones, Texture Enhancer"
polysorbate 20,GOOD,Cleansing Agents
polysorbate 60,GOOD,Cleansing Agents
polysorbate 80,GOOD,Cleansing Agents
polysorbates,GOOD,Cleansing Agents
polyvinyl alcohol,AVERAGE,Texture Enhancer
polyvinylpyrrolidone,GOOD,Texture Enhancer
pomegranate extract,BEST,"Antioxidants, Plant Extracts"
Pongamia glabra seed oil,BEST,"Antioxidants, Emollients"
Poria cocos extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
Porphyridium cruentum extract,AVERAGE,Plant Extracts
Portulaca oleracea extract,BEST,"Skin-Soothing, Plant Extracts"
potassium,GOOD,"Plant Extracts, Absorbent"
potassium ascorbyl tocopheryl phosphate,BEST,"Antioxidants, Vitamins"
potassium cetyl phosphate,GOOD,Cleansing Agents
potassium hydroxide,AVERAGE,Cleansing Agents
potassium myristate,AVERAGE,Cleansing Agents
potassium phosphate,GOOD,Uncategorized
potassium sorbate,GOOD,Preservatives
PPG-12/SMDI copolymer,GOOD,Texture Enhancer
PPG-12 buteth-16,GOOD,"Texture Enhancer, Cleansing Agents"
PPG-14 butyl ether,GOOD,Uncategorized
PPG-20 methyl glucose ether,GOOD,Uncategorized
PPG-26-Buteth-26,GOOD,"Emulsifiers, Cleansing Agents"
PPG-2-deceth-30,GOOD,Uncategorized
PPG-2 myristyl ether propionate,GOOD,Texture Enhancer
PPG-3 benzyl ether myristate,GOOD,Emollients
preservatives,GOOD,Preservatives
proline,GOOD,"Antioxidants, Skin-Replenishing"
propanediol,GOOD,Uncategorized
propolis,GOOD,"Skin-Soothing, Antioxidants"
propylene carbonate,GOOD,Texture Enhancer
propylene glycol,GOOD,Texture Enhancer
propylene glycol dicaprylate/dicaprate,GOOD,Uncategorized
propylene glycol isostearate,GOOD,"Texture Enhancer, Emollients"
propylene glycol laurate,GOOD,Emollients
propylene glycol stearate,GOOD,Texture Enhancer
propyl gallate,BEST,Antioxidants
propylparaben,GOOD,Preservatives
Prunella vulgaris,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts"
Prunus americana,GOOD,"Antioxidants, Plant Extracts"
Prunus amygdalus dulcis,GOOD,"Plant Extracts, Emollients"
Prunus armeniaca,GOOD,"Plant Extracts, Emollients"
Prunus domestica seed extract,GOOD,"Antioxidants, Plant Extracts"
Prunus domestica seed oil,BEST,"Antioxidants, Plant Extracts, Emollients"
Prunus dulcis,GOOD,Emollients
Pseudopterogorgia elisabethae,BEST,"Skin-Soothing, Antioxidants"
Psidium guajava fruit extract,BEST,"Antioxidants, Plant Extracts"
Pueraria lobata,BEST,"Antioxidants, Plant Extracts"
pullulan,GOOD,"Antioxidants, Texture Enhancer"
pumpkin,BEST,"Antioxidants, Plant Extracts"
pumpkin seed extract,BEST,"Antioxidants, Skin-Replenishing, Texture Enhancer, Emollients"
Punica granatum extract,BEST,"Antioxidants, Plant Extracts"
purified water,GOOD,Uncategorized
PVM/MA decadiene crosspolymer,GOOD,Texture Enhancer
PVP,GOOD,Texture Enhancer
PVP/dimethylaminoethylmethacrylate,GOOD,Texture Enhancer
PVP copolymer,GOOD,Texture Enhancer
pycnogenol,GOOD,"Antioxidants, Plant Extracts"
pyridoxine hydrochloride (HCL),GOOD,"Antioxidants, Vitamins"
Pyrus cydonia,POOR,"Plant Extracts, Texture Enhancer"
Pyrus malus (apple) fruit extract,GOOD,"Skin-Restoring, Plant Extracts, Texture Enhancer"
quaternium-15,AVERAGE,Preservatives
quaternium-18 hectorite,GOOD,Texture Enhancer
quaternium ammonium compounds,GOOD,Uncategorized
quercetin,BEST,"Antioxidants, Plant Extracts"
quercus,POOR,Plant Extracts
Quercus infectoria extract,POOR,Plant Extracts
quillaja extract,GOOD,Plant Extracts
quince seed,POOR,"Plant Extracts, Texture Enhancer"
quinoa oil,GOOD,"Plant Extracts, Emollients"
rapeseed oil,BEST,"Antioxidants, Emollients, Plant Extracts"
raspberry seed extract,GOOD,"Antioxidants, Plant Extracts"
raspberry seed oil,GOOD,"Antioxidants, Plant Extracts"
red 27 lake,GOOD,Coloring Agents/Pigments
red 33,GOOD,Coloring Agents/Pigments
red 6 lake,GOOD,Coloring Agents/Pigments
red algae,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts"
red clover,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
red raspberry extract,GOOD,"Antioxidants, Plant Extracts"
reducing agent,GOOD,Cleansing Agents
resveratrol,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
retinol,BEST,"Antioxidants, Vitamins, Skin-Restoring"
retinyl ascorbate,BEST,"Antioxidants, Vitamins"
retinyl palmitate,BEST,"Antioxidants, Skin-Restoring, Vitamins"
retinyl retinoate,BEST,"Skin-Restoring, Vitamins"
Rhodiola rosea root extract,BEST,Antioxidants
riboflavin,AVERAGE,Vitamins
rice bran oil,GOOD,"Plant Extracts, Emollients"
rice oil,GOOD,"Plant Extracts, Emollients"
rice starch,GOOD,"Plant Extracts, Absorbent"
ricinoleate,GOOD,Texture Enhancer
Ricinus communis,GOOD,"Plant Extracts, Emollients"
Robinia pseudacacia extract,POOR,"Antioxidants, Plant Extracts"
Rosa canina,GOOD,"Antioxidants, Emollients, Plant Extracts"
Rosa centifolia,GOOD,"Antioxidants, Emollients, Plant Extracts"
Rosa centifolia flower,GOOD,"Antioxidants, Emollients, Plant Extracts"
Rosa damascena oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Rosa eglanteria,GOOD,"Antioxidants, Emollients, Plant Extracts"
Rosa gallica flower extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Rosa mosqueta,GOOD,"Antioxidants, Plant Extracts, Emollients"
Rosa roxburghii extract,BEST,"Antioxidants, Plant Extracts"
Rosa rubiginosa,GOOD,"Antioxidants, Plant Extracts, Emollients"
rose flower,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
rose flower oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
rose hip,GOOD,"Antioxidants, Plant Extracts, Emollients"
rose hip oil,GOOD,"Antioxidants, Plant Extracts, Emollients"
rosemary extract,GOOD,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antioxidants"
rosemary oil,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
rose oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
rosewood oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Rosmarinus officinalis extract,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
royal jelly,AVERAGE,Uncategorized
Rubus idaeus,GOOD,"Antioxidants, Plant Extracts"
Rubus occidentalis,BEST,"Antioxidants, Plant Extracts"
Rubus ursinus,GOOD,"Antioxidants, Plant Extracts"
Rubus ursinus x idaeus,BEST,"Antioxidants, Plant Extracts"
Rubus villoscus,BEST,"Antioxidants, Plant Extracts"
Ruscus aculeatus,AVERAGE,"Skin-Soothing, Plant Extracts"
rutin,BEST,"Antioxidants, Emollients"
saccharide isomerate,GOOD,"Emollients, Skin-Replenishing"
saccharides,BEST,Skin-Replenishing
Saccharomyces calcium ferment,AVERAGE,Miscellaneous
Saccharomyces cerevisiae,AVERAGE,Skin-Replenishing
Saccharomyces copper ferment,AVERAGE,Antioxidants
Saccharomyces iron ferment,AVERAGE,Antioxidants
Saccharomyces lysate,GOOD,Antioxidants
Saccharomyces magnesium ferment,AVERAGE,Antioxidants
Saccharomyces manganese ferment,AVERAGE,Antioxidants
