Ingredients,Rate,Category
Saccharomyces officinarum ferment,AVERAGE,Plant Extracts
Saccharomyces potassium ferment,AVERAGE,Antioxidants
saccharomyces selenium ferment,GOOD,Antioxidants
Saccharomyces silicon ferment,AVERAGE,Antioxidants
Saccharomyces zinc ferment,AVERAGE,Antioxidants
safflower seed oil,BEST,"Antioxidants, Emollients, Plant Extracts"
sage extract,AVERAGE,"Plant Extracts, Sensitizing"
salicin,GOOD,"Skin-Soothing, Plant Extracts"
salicylic acid,BEST,"Skin-Soothing, Anti-Acne, Exfoliant"
Salix alba extract,GOOD,"Skin-Soothing, Plant Extracts"
Salix nigra (willow) bark extract,GOOD,"Skin-Soothing, Plant Extracts"
Salvia hispanica (chia) seed oil,BEST,"Emollients, Skin-Replenishing, Skin-Restoring"
Salvia officinalis,POOR,"Plant Extracts, Thickeners/Emulsifiers, Cleansing Agents"
Sambucus canadensis,GOOD,"Antioxidants, Plant Extracts"
Sambucus cerulea,GOOD,"Antioxidants, Plant Extracts"
Sambucus nigra,GOOD,"Antioxidants, Plant Extracts"
Sambucus nigra fruit extract,GOOD,"Antioxidants, Plant Extracts"
sandalwood oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
Santalum album seed extract,AVERAGE,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Sapindus mukurossi peel extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
Saponaria officinalis extract,GOOD,"Plant Extracts, Cleansing Agents"
saponin,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
sarcosine,GOOD,Hydration
Sargassum filipendula extract,GOOD,"Antioxidants, Plant Extracts"
sausurrea oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Saxifraga sarmentosa extract,AVERAGE,Plant Extracts
sclareolide,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts"
Sclerocarya birrea,BEST,"Emollients, Skin-Replenishing"
sclerotium gum,GOOD,Thickeners/Emulsifiers
Scutellaria baicalensis extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
SD alcohol,POOR,Sensitizing
SD alcohol 40-2,POOR,Sensitizing
sea buckthorn,GOOD,"Antioxidants, Plant Extracts"
Seamollient,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients"
sea salt,AVERAGE,"Scrub Agents, Sensitizing"
seaweed,GOOD,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients"
sea whip extract,BEST,Skin-Soothing
sebacic acid,GOOD,Miscellaneous
selenium,BEST,Antioxidants
Serenoa serrulata extract,AVERAGE,"Skin-Soothing, Plant Extracts"
sericin,GOOD,"Antioxidants, Plant Extracts"
serine,GOOD,"Antioxidants, Skin-Replenishing"
sesame oil,GOOD,"Plant Extracts, Emollients"
Sesamum indicum,GOOD,"Plant Extracts, Emollients"
sesquioleate,GOOD,"Thickeners/Emulsifiers, Emollients"
shea butter,BEST,"Plant Extracts, Emollients, Antioxidants"
Siegesbeckia orientalis,AVERAGE,Plant Extracts
silanetriol,GOOD,Uncategorized
silica,GOOD,"Thickeners/Emulsifiers, Absorbent"
silica dimethyl silylate,GOOD,"Silicones, Slip Agents"
silicate,GOOD,"Thickeners/Emulsifiers, Absorbent"
silicone,GOOD,"Silicones, Slip Agents, Emollients"
silk,GOOD,Antioxidants
silk powder,GOOD,"Absorbent, Slip Agents"
silk protein,GOOD,Antioxidants
siloxane,GOOD,"Silicones, Slip Agents, Emollients"
silt,GOOD,Absorbent
silver,POOR,Sensitizing
silver chloride,AVERAGE,Sensitizing
silver tip white tea leaf extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
Silybum marianum extract,BEST,"Plant Extracts, Antioxidants"
simethicone,GOOD,"Silicones, Slip Agents"
Simmondsia chinensis,BEST,"Plant Extracts, Emollients, Skin-Replenishing"
skin-replenishing ingredients,BEST,Skin-Replenishing
skin-restoring ingredients,BEST,"Antioxidants, Skin-Restoring"
skullcap extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
slip agent,GOOD,Slip Agents
slippery elm bark,GOOD,"Skin-Soothing, Plant Extracts"
soap,POOR,"Cleansing Agents, Sensitizing"
soapberry extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
soapwort,GOOD,"Plant Extracts, Cleansing Agents"
sodium acetate,GOOD,Uncategorized
sodium acrylate/acryloydimethyl taurate copolymer,GOOD,Thickeners/Emulsifiers
sodium ascorbate,BEST,"Antioxidants, Vitamins"
sodium ascorbyl phosphate,BEST,"Skin-Soothing, Vitamins, Antioxidants"
sodium benzoate,GOOD,Preservatives
sodium bicarbonate,GOOD,"Miscellaneous, Scrub Agents"
sodium bisulfite,AVERAGE,Sensitizing
sodium borate,POOR,Sensitizing
sodium C14-16 olefin sulfonate,POOR,"Cleansing Agents, Sensitizing"
sodium carbomer,GOOD,Film-Forming/Holding Agents
sodium carbonate,POOR,"Absorbent, Sensitizing"
sodium carboxymethyl beta-glucan,GOOD,Thickeners/Emulsifiers
sodium cetearyl sulfate,GOOD,Cleansing Agents
sodium chloride,GOOD,Scrub Agents
sodium chondroitin sulfate,BEST,Skin-Replenishing
sodium citrate,GOOD,"Antioxidants, Preservatives"
sodium cocoamphoacetate,GOOD,Cleansing Agents
sodium cocoate,POOR,"Cleansing Agents, Sensitizing"
sodium cocoyl amino acids,GOOD,Cleansing Agents
sodium cocoyl glutamate,GOOD,Cleansing Agents
sodium cocoyl isethionate,GOOD,Cleansing Agents
sodium dehydroacetate,GOOD,Preservatives
sodium dilauramidoglutamide lysine,GOOD,"Emulsifiers, Skin-Replenishing"
sodium hexametaphosphate,GOOD,"Thickeners/Emulsifiers, Preservatives, Cleansing Agents"
sodium hyaluronate,BEST,"Skin-Replenishing, Antioxidants, Skin-Restoring"
sodium hyaluronate crosspolymer,BEST,"Skin-Replenishing, Film-Forming Agents, Film-Forming/Holding Agents"
sodium hydroxide,AVERAGE,"Cleansing Agents, Sensitizing"
sodium hydroxymethylglycinate,GOOD,"Preservatives, Hydration"
sodium lactate,GOOD,Miscellaneous
sodium lactobionate,AVERAGE,Preservatives
sodium laureth-13 carboxylate,GOOD,Cleansing Agents
sodium laureth sulfate,GOOD,Cleansing Agents
sodium lauroamphoacetate,GOOD,Cleansing Agents
sodium lauroyl lactylate,GOOD,"Thickeners/Emulsifiers, Cleansing Agents"
sodium lauroyl sarcosinate,GOOD,Cleansing Agents
sodium lauryl glucose carboxylate,GOOD,Cleansing Agents
sodium lauryl sulfate,POOR,"Thickeners/Emulsifiers, Cleansing Agents, Sensitizing"
sodium metabisulfite,AVERAGE,"Antioxidants, Preservatives, Sensitizing"
sodium methyl cocoyl taurate,GOOD,Cleansing Agents
sodium methyl taurate,GOOD,Cleansing Agents
sodium myreth sulfate,GOOD,Cleansing Agents
sodium palmate,POOR,Cleansing Agents
sodium palm kernelate,POOR,Cleansing Agents
sodium PCA,BEST,Skin-Replenishing
sodium PEG-7 olive oil carboxylate,GOOD,"Cleansing Agents, Emollients"
sodium phytate,GOOD,Miscellaneous
sodium polyacrylate,GOOD,"Thickeners/Emulsifiers, Film-Forming/Holding Agents, Emollients, Absorbent"
sodium salicylate,AVERAGE,Miscellaneous
sodium silicate,POOR,Sensitizing
sodium stearoyl lactylate,GOOD,"Emulsifiers, Texture Enhancer"
sodium sulfite,AVERAGE,"Preservatives, Sensitizing"
sodium tallowate,POOR,"Miscellaneous, Cleansing Agents"
sodium thioglycolate,POOR,Sensitizing
sodium trideceth sulfate,GOOD,Cleansing Agents
Solanum lycopersicum extract,AVERAGE,"Antioxidants, Sensitizing, Plant Extracts"
Solanum tuberosum extract,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
solvent,GOOD,Miscellaneous
Sonojell,GOOD,"Skin-Soothing, Emollients"
soothing agent,BEST,Skin-Soothing
sorbic acid,GOOD,Preservatives
sorbitan oleate,GOOD,"Thickeners/Emulsifiers, Cleansing Agents"
sorbitan sesquioleate,GOOD,Thickeners/Emulsifiers
sorbitan stearate,GOOD,Thickeners/Emulsifiers
sorbitol,GOOD,"Thickeners/Emulsifiers, Hydration, Slip Agents"
soy extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
soy isoflavones,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
soy oil,BEST,"Skin-Soothing, Antioxidants, Plant Extracts, Emollients"
spearmint oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
SPF,BEST,Miscellaneous
sphingolipids,BEST,"Skin-Restoring, Skin-Replenishing"
Spiraea ulmaria,BEST,"Skin-Soothing, Plant Extracts"
spirulina,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients"
squalane,BEST,"Hydration, Antioxidants, Skin-Replenishing, Emollients"
squalene,BEST,"Antioxidants, Skin-Replenishing, Emollients"
St. John's wort,GOOD,"Antioxidants, Plant Extracts"
star anise,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
steapyrium chloride,GOOD,Miscellaneous
stearalkonium chloride,GOOD,Miscellaneous
stearalkonium hectorite,GOOD,Miscellaneous
stearates,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing"
steareth-20,GOOD,Cleansing Agents
stearic acid,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing"
stearyl alcohol,GOOD,"Thickeners/Emulsifiers, Emollients"
stearyl dimethicone,GOOD,"Silicones, Slip Agents"
stearyl glycyrrhetinate,BEST,"Skin-Soothing, Plant Extracts"
stearyl methicone,GOOD,"Silicones, Emollients, Slip Agents"
stearyl stearate,GOOD,"Emollients, Texture Enhancer"
styrax benzoin,POOR,Preservatives
styrene/acrylates copolymer,GOOD,Film-Forming/Holding Agents
sucrose,GOOD,"Skin-Replenishing, Hydration"
sugarcane extract,AVERAGE,Plant Extracts
sulfates,GOOD,Cleansing Agents
sulfur,POOR,Sensitizing
sunflower seed oil,BEST,"Plant Extracts, Emollients"
sun protection factor,BEST,Miscellaneous
superoxide dismutase,BEST,Antioxidants
surfactant,GOOD,Cleansing Agents
sweet almond,GOOD,"Emollients, Plant Extracts"
sweet almond oil,GOOD,Emollients
Symphytum officinale extract,POOR,"Skin-Soothing, Plant Extracts, Sensitizing"
synthetic beeswax,GOOD,"Thickeners/Emulsifiers, Emollients"
synthetic wax,GOOD,"Miscellaneous, Texture Enhancer"
Szechuan peppercorn,POOR,"Plant Extracts, Sensitizing"
talc,GOOD,Miscellaneous
tallow,POOR,Miscellaneous
tamanu oil,GOOD,"Skin-Soothing, Hydration, Plant Extracts"
Tanacetum parthenium,AVERAGE,"Skin-Soothing, Plant Extracts, Sensitizing"
tangerine oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
tannic acid,BEST,Antioxidants
tapioca starch,GOOD,"Thickeners, Texture Enhancer"
tartaric acid,BEST,Exfoliant
TEA,GOOD,Miscellaneous
TEA-lauryl sulfate,POOR,"Thickeners/Emulsifiers, Sensitizing, Cleansing Agents"
tea tree oil,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
terephthalylidene dicamphor sulfonic acid,BEST,Sunscreen Actives
tetradibutyl pentaerithrityl hydroxyhydrocinnamate,GOOD,Antioxidants
tetrahexyldecyl ascorbate,BEST,"Antioxidants, Vitamins"
tetrahydrobisdemethoxycurcumin,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
tetrahydrobisdemethoxydiferuloylmethane,BEST,Antioxidants
tetrahydrodemethoxycurcumin,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
tetrahydrodemethoxydiferuloylmethane,BEST,"Skin-Soothing, Antioxidants"
tetrahydrodiferuloylmethane,BEST,"Skin-Soothing, Antioxidants"
tetrahydromethoxycurcumin,BEST,"Skin-Soothing, Antioxidants"
tetrahydroxypropyl ethylenediamine,GOOD,Miscellaneous
tetrasodium EDTA,GOOD,Miscellaneous
tetrasodium etidronate,GOOD,Miscellaneous
Theobroma cacao seed butter,BEST,"Plant Extracts, Emollients"
thiamine HCL,GOOD,Vitamins
thickening agent,GOOD,Thickeners/Emulsifiers
thioctic acid,BEST,Antioxidants
thiodipropionic acid,AVERAGE,Antioxidants
thiotaurine,GOOD,"Antioxidants, Skin-Replenishing"
threonine,GOOD,"Antioxidants, Skin-Replenishing"
thyme extract,AVERAGE,"Antioxidants, Sensitizing, Plant Extracts"
thyme oil,POOR,"Antioxidants, Plant Extracts, Sensitizing"
thymus hydrolysate,AVERAGE,"Miscellaneous, Hydration"
Thymus serpillum extract,POOR,"Antioxidants, Sensitizing, Plant Extracts"
Thymus vulgaris,AVERAGE,"Antioxidants, Plant Extracts, Sensitizing"
Thymus vulgaris oil,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
Tilia cordata,BEST,"Antioxidants, Plant Extracts"
titanium dioxide,BEST,"Sunscreen Actives, Coloring Agents/Pigments, Thickeners/Emulsifiers"
tocopherol,BEST,"Antioxidants, Vitamins"
tocopherol acetate,BEST,"Antioxidants, Vitamins"
tocopheryl acetate,BEST,"Antioxidants, Vitamins"
tocopheryl lineolate,BEST,"Antioxidants, Vitamins"
tocotrienols,BEST,"Antioxidants, Vitamins"
tomato extract,AVERAGE,"Antioxidants, Sensitizing, Plant Extracts"
tormentil extract,POOR,"Plant Extracts, Sensitizing"
tragacanth,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
tranexamic acid,BEST,Miscellaneous
trehalose,GOOD,"Miscellaneous, Hydration"
tremella fuciformis sporocarp extract,BEST,"Antioxidants, Plant Extracts"
tribehenin,GOOD,"Thickeners/Emulsifiers, Skin-Replenishing, Emollients"
tribehenin PEG-20 esters,GOOD,"Emulsifiers, Cleansing Agents, Emollients"
tricaprylin,GOOD,Emollients
trideceth-12,GOOD,"Cleansing Agents, Emulsifiers"
trideceth-6,GOOD,Emulsifiers
tridecyl salicylate,GOOD,Miscellaneous
tridecyl stearate,GOOD,"Thickeners/Emulsifiers, Emollients"
tridecyl trimellitate,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Hydration, Skin-Softening"
triethanolamine,GOOD,"Miscellaneous, Emulsifiers"
triethoxycaprylylsilane,GOOD,"Silicones, Slip Agents"
triethoxycaprylylsilane crosspolymer,GOOD,"Silicones, Film-Forming/Holding Agents"
triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone,GOOD,Emollients
Trifolium pratense,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts"
triglyceride,GOOD,"Thickeners/Emulsifiers, Emollients"
trigonella foenum-graecum seed extract,AVERAGE,"Plant Extracts, Sensitizing, Thickeners/Emulsifiers"
trihydroxystearin,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing"
triisocetyl citrate,GOOD,Emollients
trilaurin,GOOD,"Thickeners/Emulsifiers, Emollients"
trimethylsiloxyamodimethicone,BEST,"Hydration, Texture Enhancer"
trimethylsiloxysilicate,GOOD,"Silicones, Slip Agents, Skin-Softening, Emollients"
trioclanolin,GOOD,Miscellaneous
trioctanoin,GOOD,"Thickeners/Emulsifiers, Emollients"
trioctyldodecyl citrate,GOOD,"Emollients, Skin-Softening"
tripeptide-1,BEST,Skin-Restoring
tripeptide-32,GOOD,Skin-Restoring
Tripleurospermum maritimum extract,GOOD,"Plant Extracts, Antioxidants"
trisodium EDTA,GOOD,Miscellaneous
Triticum vulgare (wheat) germ extract,GOOD,"Plant Extracts, Skin-Softening"
Triticum vulgare oil,GOOD,"Plant Extracts, Skin-Softening, Emollients"
troxerutin,BEST,"Antioxidants, Plant Extracts"
tryptophan,GOOD,"Antioxidants, Skin-Replenishing"
turmeric,GOOD,"Antioxidants, Skin-Soothing, Plant Extracts"
ubiquinone,BEST,"Skin-Soothing, Antioxidants"
Ulmus fulva bark extract,GOOD,"Skin-Soothing, Plant Extracts"
ultramarines,GOOD,Coloring Agents/Pigments
Ulva lactuca extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants"
Uncaria tomentosa extract,AVERAGE,"Plant Extracts, Skin-Soothing"
Undaria pinnatifida,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Hydration"
urea,GOOD,"Exfoliant, Hydration, Skin-Replenishing"
Urtica dioica,AVERAGE,"Skin-Soothing, Plant Extracts"
UVA,POOR,Miscellaneous
Uva ursi extract,BEST,"Plant Extracts, Antioxidants"
UVB,POOR,Miscellaneous
VA/crotonates copolymer,GOOD,Film-Forming/Holding Agents
Vaccinium macrocarpon fruit extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts"
Vaccinium myrtillus,GOOD,Plant Extracts
Vaccinum Angustifolium (blueberry) fruit extract,BEST,Antioxidants
valine,GOOD,"Antioxidants, Skin-Replenishing"
Vanilla planifolia fruit extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts"
verbena extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
vetiver oil or extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts"
vinyl dimethicone/methicone silsesquioxane crosspolymer,GOOD,"Thickeners, Silicones, Texture Enhancer"
Viola tricolor extract,AVERAGE,"Skin-Soothing, Plant Extracts, Antioxidants"
vitamin A,BEST,"Antioxidants, Vitamins"
vitamin B1,GOOD,Vitamins
vitamin B12,GOOD,Vitamins
vitamin B2,AVERAGE,"Sensitizing, Vitamins"
vitamin B3,BEST,"Skin-Restoring, Vitamins, Hydration"
vitamin B5,GOOD,Vitamins
vitamin B6,AVERAGE,Vitamins
vitamin C,BEST,"Antioxidants, Vitamins"
vitamin D,GOOD,"Antioxidants, Vitamins"
vitamin E,BEST,"Antioxidants, Vitamins"
vitamin F,BEST,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration"
vitamin H,GOOD,Vitamins
vitamin K,GOOD,Vitamins
Vitis vinifera,BEST,"Antioxidants, Emollients, Plant Extracts"
volatile oil,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
VP/eicosene copolymer,GOOD,Film-Forming/Holding Agents
VP/hexadecene copolymer,GOOD,"Film-Forming/Holding Agents, Texture Enhancer"
walnut extract,AVERAGE,"Antioxidants, Plant Extracts"
walnut oil,GOOD,"Plant Extracts, Emollients"
walnut shell powder,AVERAGE,Scrub Agents
water,GOOD,Miscellaneous
watercress extract,AVERAGE,"Antioxidants, Plant Extracts"
watermelon fruit extract,BEST,"Antioxidants, Plant Extracts"
wheat amino acids,GOOD,"Miscellaneous, Hydration"
wheat germ glycerides,GOOD,"Thickeners/Emulsifiers, Emollients, Texture Enhancer"
wheat germ oil,GOOD,"Plant Extracts, Emollients"
wheat protein,GOOD,Skin-Replenishing
whey protein,GOOD,"Miscellaneous, Skin-Softening"
white nettle,AVERAGE,"Skin-Soothing, Plant Extracts, Sensitizing"
white oak bark extract,POOR,"Plant Extracts, Sensitizing"
white tea leaf extract,BEST,"Antioxidants, Plant Extracts"
white willow,GOOD,"Skin-Soothing, Plant Extracts"
wild ginger,POOR,"Skin-Soothing, Sensitizing, Plant Extracts"
willow bark,GOOD,"Skin-Soothing, Plant Extracts"
willow herb,BEST,"Skin-Soothing, Plant Extracts"
wintergreen oil,POOR,"Plant Extracts, Sensitizing"
witch hazel,POOR,"Skin-Soothing, Plant Extracts, Antioxidants, Sensitizing"
xanthan gum,GOOD,"Thickeners/Emulsifiers, Texture Enhancer"
xanthophyll,BEST,"Antioxidants, Plant Extracts"
Ximenia americana oil,GOOD,"Plant Extracts, Antioxidants, Emollients"
Xi xin,POOR,"Skin-Soothing, Sensitizing, Plant Extracts"
xylitol,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Slip Agents"
xylitylglucoside,GOOD,Hydration
xylose,GOOD,"Miscellaneous, Hydration"
xymenynic acid,GOOD,"Miscellaneous, Skin-Softening"
yarrow extract,POOR,"Skin-Soothing, Sensitizing, Plant Extracts"
yeast,GOOD,Antioxidants
yeast extract,GOOD,Antioxidants
yellow 5,GOOD,Coloring Agents/Pigments
yellow 6 lake,GOOD,Coloring Agents/Pigments
yerba mate extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants"
ylang ylang,POOR,"Plant Extracts, Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing"
yogurt,AVERAGE,Miscellaneous
yucca extract,AVERAGE,"Skin-Soothing, Plant Extracts, Sensitizing, Antioxidants"
Yucca schidigera,AVERAGE,Uncategorized
Zanthoxylum piperitum,POOR,"Plant Extracts, Sensitizing"
zinc,BEST,"Skin-Soothing, Antioxidants"
zinc carbonate,POOR,"Miscellaneous, Sensitizing"
zinc oxide,BEST,"Skin-Soothing, Coloring Agents/Pigments, Antioxidants, Thickeners/Emulsifiers"
zinc PCA,BEST,Miscellaneous
zinc stearate,GOOD,"Thickeners/Emulsifiers, Coloring Agents/Pigments, Slip Agents, Texture Enhancer"
zinc sulfate,POOR,"Preservatives, Sensitizing"
Zingiberaceae,POOR,"Skin-Soothing, Sensitizing, Plant Extracts"
Zingiber officinale roscoe,POOR,"Skin-Soothing, Plant Extracts, Sensitizing"
Zingiber zerumbet,POOR,"Skin-Soothing, Plant Extracts, Sensitizing"
Zizyphus jujuba fruit extract,GOOD,"Skin-Soothing, Plant Extracts"